Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence,School_Programs,Family_Background,Mental_Health,Access_to_Counseling,Parental_Supervision,Substance_Education,Community_Support,Media_Influence
2023,60-69,Both,36.28,59.03,Middle,3,Yes,7,8,Yes,1,No,5,2
2023,50-59,Male,15.83,65.4,Low,5,Yes,4,5,No,4,Yes,5,2
2023,10-14,Both,11.23,48.93,Middle,2,Yes,9,2,No,5,Yes,8,8
2023,50-59,Female,6.95,11.01,High,8,Yes,7,1,Yes,7,No,8,4
2020,80+,Both,41.45,57.14,Low,1,No,10,2,Yes,8,Yes,5,9
2023,30-39,Female,41.62,35.57,Low,1,No,4,7,No,7,No,7,8
2023,25-29,Both,23.38,64.3,Low,9,No,4,5,Yes,3,No,5,5
2023,60-69,Male,34.51,30.55,High,2,No,4,2,Yes,5,No,5,6
2022,20-24,Both,37.54,20.89,High,5,No,7,9,No,9,No,2,4
2024,10-14,Male,47.78,26.48,High,3,Yes,2,10,Yes,9,No,2,9
2020,20-24,Male,40.66,36.24,Low,10,No,7,5,Yes,10,Yes,10,7
2024,70-79,Female,28.48,36.64,High,10,Yes,9,8,No,2,Yes,6,8
2020,60-69,Both,27.83,64.58,High,3,Yes,2,6,Yes,4,No,3,6
2022,30-39,Male,41.06,47.32,Low,3,No,1,9,Yes,2,Yes,8,3
2020,60-69,Both,24.76,65.08,Middle,9,No,2,1,Yes,6,No,2,7
2020,30-39,Both,49.06,48.66,Low,8,No,5,10,No,3,Yes,6,3
2021,40-49,Male,49.26,22.41,Low,10,No,8,10,No,8,No,2,1
2024,40-49,Both,18.18,17.11,High,1,No,3,9,No,9,No,8,1
2021,70-79,Both,42.52,58.85,High,2,Yes,8,8,Yes,1,No,2,9
2022,80+,Male,7.88,45.21,Low,10,Yes,10,2,No,5,Yes,9,7
2021,80+,Female,39.94,45.3,High,3,Yes,7,2,No,4,Yes,7,6
2021,70-79,Both,42.92,10.21,High,9,Yes,6,7,Yes,2,Yes,4,10
2023,20-24,Both,8.21,15.7,Middle,3,Yes,4,1,Yes,8,No,1,2
2024,25-29,Both,18.59,65.63,Middle,2,Yes,3,6,No,6,No,2,6
2024,60-69,Male,45.99,51.65,High,1,No,10,6,Yes,8,No,5,3
2021,15-19,Female,6.73,54.86,Middle,2,Yes,7,5,No,2,No,9,5
2020,50-59,Both,7.44,33.54,Low,5,Yes,2,1,Yes,3,Yes,1,8
2020,40-49,Male,7.0,12.62,Low,7,No,10,3,Yes,7,Yes,1,4
2024,20-24,Female,17.7,45.11,Middle,9,Yes,5,1,No,4,No,3,10
2023,15-19,Female,42.42,12.38,Middle,10,Yes,10,10,Yes,4,Yes,7,5
2024,30-39,Both,28.85,28.35,Middle,1,Yes,6,10,No,6,Yes,8,10
2021,60-69,Both,10.55,36.15,Low,5,No,1,8,No,9,No,9,7
2023,30-39,Both,22.5,40.5,Middle,9,Yes,7,9,Yes,1,Yes,3,10
2022,70-79,Male,27.48,50.25,Low,1,No,1,7,Yes,5,No,5,7
2024,40-49,Both,6.63,18.05,High,2,Yes,3,2,No,7,No,9,6
2021,25-29,Male,8.28,19.4,Middle,6,Yes,9,6,No,7,Yes,2,1
2020,60-69,Male,8.92,32.42,High,3,No,8,4,Yes,9,Yes,7,4
2023,30-39,Male,29.57,69.28,Low,4,Yes,5,10,Yes,6,Yes,10,4
2023,20-24,Female,15.77,43.93,High,3,No,5,5,No,5,Yes,7,7
2023,30-39,Female,24.09,33.43,High,2,No,7,6,Yes,4,No,6,2
2020,15-19,Male,29.15,22.8,Middle,5,No,7,2,Yes,1,No,10,10
2022,30-39,Male,10.43,16.0,High,10,Yes,9,10,No,5,Yes,7,10
2020,25-29,Both,37.58,45.34,High,3,No,9,6,Yes,1,No,8,1
2021,20-24,Both,10.88,46.54,Middle,5,No,9,10,No,6,Yes,3,1
2020,30-39,Male,12.01,26.45,Middle,1,No,3,1,Yes,4,Yes,8,5
2024,25-29,Female,45.51,14.16,Low,5,Yes,9,9,No,6,Yes,6,5
2020,15-19,Both,7.86,39.07,High,6,Yes,3,6,Yes,4,No,2,9
2021,30-39,Male,9.52,49.18,Low,8,No,4,8,No,10,Yes,10,5
2021,50-59,Both,10.22,28.96,Middle,6,Yes,1,7,No,3,Yes,6,9
2023,80+,Both,32.56,49.41,Low,1,No,2,6,No,1,No,3,7
2020,10-14,Both,7.17,53.14,Middle,8,No,3,1,Yes,6,No,4,5
2024,60-69,Female,41.12,60.84,High,8,Yes,9,9,Yes,10,No,2,6
2021,25-29,Both,32.85,13.89,Middle,9,Yes,3,6,Yes,10,Yes,6,3
2023,40-49,Female,26.36,42.03,Low,1,No,6,10,No,10,No,9,7
2024,10-14,Both,40.36,65.09,Low,4,Yes,4,4,Yes,10,No,4,10
2020,80+,Both,21.61,65.06,Middle,5,No,4,4,No,8,Yes,2,3
2024,80+,Female,15.67,25.33,Middle,1,Yes,5,5,No,2,Yes,9,6
2020,70-79,Male,28.76,41.96,Low,1,No,10,9,No,5,No,2,7
2024,40-49,Both,8.88,47.16,Low,9,Yes,5,4,No,5,Yes,2,6
2021,80+,Female,24.49,62.62,High,3,Yes,3,1,No,9,Yes,10,2
2023,10-14,Male,14.23,36.93,Middle,9,Yes,5,5,Yes,2,No,4,4
2021,25-29,Both,33.14,13.09,Low,7,No,4,1,No,1,Yes,10,1
2021,70-79,Both,38.16,38.74,Middle,4,No,10,3,No,1,No,7,8
2022,15-19,Both,42.71,69.71,Low,9,Yes,4,7,Yes,2,No,4,6
2023,15-19,Male,9.67,37.92,High,3,Yes,2,4,No,7,No,3,1
2024,25-29,Male,32.76,59.81,Middle,4,No,6,5,Yes,10,Yes,4,4
2021,40-49,Female,39.96,62.14,Low,6,Yes,4,6,No,6,No,6,8
2021,50-59,Female,24.99,54.11,Middle,3,Yes,3,5,No,9,Yes,10,3
2021,30-39,Male,9.79,18.35,Low,1,Yes,7,5,Yes,10,No,7,8
2021,20-24,Female,23.41,37.84,Low,9,Yes,4,10,No,9,No,6,7
2023,20-24,Male,20.87,28.02,Low,3,No,1,5,No,1,Yes,9,3
2021,25-29,Male,44.17,65.13,Middle,4,Yes,3,2,No,5,Yes,10,9
2021,40-49,Female,5.4,38.27,Middle,10,Yes,9,3,No,9,Yes,6,6
2024,60-69,Male,40.16,40.9,Low,3,No,10,10,Yes,4,No,4,6
2023,70-79,Female,33.43,37.55,High,7,No,3,9,Yes,2,Yes,9,9
2023,20-24,Both,12.79,28.12,Middle,4,No,7,2,No,10,Yes,6,5
2022,10-14,Both,13.01,39.62,Low,8,No,9,10,Yes,9,Yes,5,7
2022,50-59,Male,23.85,67.88,Middle,9,Yes,6,6,Yes,10,No,4,1
2020,60-69,Male,35.52,13.41,Middle,9,No,9,3,Yes,1,No,5,4
2023,50-59,Female,22.63,66.68,High,6,No,4,7,Yes,9,Yes,6,9
2020,70-79,Male,41.8,30.25,Middle,3,No,4,1,Yes,6,Yes,6,3
2020,20-24,Both,10.72,46.91,Middle,3,Yes,1,9,No,5,No,5,10
2021,15-19,Female,32.36,62.76,Low,6,Yes,9,10,No,9,Yes,3,9
2023,20-24,Both,37.55,34.05,Middle,10,Yes,10,6,No,2,No,6,3
2023,70-79,Female,30.41,17.69,Low,6,No,4,9,Yes,2,Yes,1,1
2024,70-79,Both,24.16,31.23,Low,7,No,9,9,No,8,No,9,6
2021,15-19,Female,12.98,10.37,Middle,5,Yes,1,2,Yes,2,No,7,6
2022,80+,Male,24.26,49.94,Middle,9,No,10,7,No,10,Yes,1,3
2023,25-29,Both,7.52,19.2,Middle,7,No,6,5,No,5,Yes,5,9
2023,15-19,Both,25.23,28.76,Low,3,No,1,5,Yes,2,No,5,7
2024,50-59,Female,48.9,54.78,Low,5,Yes,1,6,No,7,Yes,4,7
2022,80+,Both,19.36,54.07,High,8,Yes,6,4,Yes,2,Yes,9,8
2023,30-39,Female,20.98,52.55,Middle,2,No,10,2,No,8,No,3,10
2021,60-69,Both,13.44,31.25,Middle,4,Yes,8,6,Yes,5,No,5,8
2023,60-69,Both,26.33,69.59,High,9,No,4,4,Yes,6,Yes,7,7
2021,60-69,Male,5.0,60.11,Middle,6,Yes,9,1,Yes,7,Yes,6,3
2023,70-79,Both,33.73,33.11,High,4,No,5,6,No,7,No,1,9

